a little better	- немного лучше
(to) add	- добавлять, прибавлять
(to) adjust	- настраивать
(to) allow	- позволять, разрешать
animal	- животное
antenna	- антенна
(to) apply	- применять, наносить
(to) approve	- одобрять
(to) arrest	- арестовывать
as	- как; по мере того, как
as good as new	- как новенький
(to) assemble	- собирать
bad neighborhood	- неблагополучный район
batter	- жидкое тесто
bee	- пчела
beef	- говядина
(to) bite, bit, bitten - кусать, укусить
bicyclist	- велосипедист
(to) boil	- варить, кипятить
bouquet card	- открытка для букета
(to) brew	- заваривать
(to) burn	- гореть, сжигать
burrito	-буррито
by all means	- конечно же
by the lake	- на берегу озера
(to) call in sick for work	- не пойти на работу из-за болезни
camping	- отдых на лоне природы (в палатке)
can I be frank with you?	- могу ли я быть с вами откро-венным?
can I be honest with you?	- могу ли я быть честным с вами?
can I level with you?	- могу ли я быть с вами откровенным?
(to)catch, caught, caught - ловить, поймать
CEO (Chief Executive Officer)	- генеральный директор
chocolate frosting	- шоколадная глазурь
CIA server	- сервер ЦРУ
come to think of it	- если подумать об этом
community service	- общественные работы
compass	- компас
(to) consult	- консультировать(-ся) с
co-pilot	- второй пилот
corn tortilla	- кукурузная лепешка
(to) crash	- поломаться (о технике)
definitely	- определенно
different	- различный, другой
do you approve of the way...?	- вы одобряете то, как ...?
(to) drain	- слить воду
(to) dread	- опасаться, страшиться чего-то
(to) dream of	- мечтать о, присниться
(to) drive through	- проехать через
 (to) dye	- красить (волосы, ткань)
(to) evict	- выселять
(to) expel	- исключать
experienced	- опыт
medium	- средней прожаренности
(to) mug	- грабить и избивать на улице
native language	- родной язык
nightmare	- кошмар
(to) overcook	- пережарить, переварить
pancake	- блин
pepper	- перец
perfectly	- отлично
(to) permit	- разрешать
pill	- таблетка
(to) polish	- вскрывать лаком, полировать
pool	- бассейн
private school	- частная школа
(to) promise	- общественное место
public place	- обещать
public school	- государственная школа
puddle	- лужа
rare	- с кровью
(to) require	- требовать
(to) rob	- грабить (банк, квартиру)
(to) run over - сбить (на машине)
sauce	- соус
(to) fall from	- падать c
 (to) fear	- бояться
financial crisis	- финансовый кризис
fingerprints	- отпечатки пальцев
(to) fit, fit, fit	- сидеть (об одежде)
flowerpot	- цветочный горшок
food processor	- кухонный комбайн
frankly	- откровенно говоря
French press	- френч-пресс, кофейник
fresh	- свежий
funny-looking	- смешной
(to) gather	- собирать
(to) hack	- взломать
(to) handle	- уладить
haircut	- стрижка
(to) have a feeling	- иметь ощущение
 (to) heat up	- разогревать
home remedy	- домашнее средство (от бо¬лезни)
I have a feeling	- у меня предчувствие
I will do better next time	- в следующий раз я справлюсь лучше
(to) ice	- покрывать глазурью
in all honesty	- если честно
in the woods	- в лесу
(to) inspect	- осматривать, проверять
(to) install	- установить
jam	- джем, варенье
(to) kill	- убивать
(to) land	- посадить, приземлить
(to) laugh at	- смеяться над
lobby	- холл
(to) lose, lost, lost	- терять, проигрывать
maple syrup	- кленовый сироп
medical research	- медицинское исследование
 (to) scramble	- взбивать (яйца)
sergeant	- сержант
(to) season	- приправлять
service in the army	- служба в армии
sidewalk	- тротуар
(to) sign	- подписывать
(to) sign up for	- зарегистрироваться на
skydiving	- прыжки с парашютом
sour	- кислый
spaghetti	- спагетти
spices	- специи
(to) splash	- обрызгать
(to)steal, stole, stolen	- украсть
 (to) sting, stung, stung	- жалить
 (to) stir up	- взбить
sunscreen	- солнцезащитный крем
(to) take up	- начать заниматься
 (to) taste	- пробовать, быть на вкус
terrified	- в ужасе
through	- через, сквозь
through headphones	- через наушники
through speakers	- через колонки
to be honest	- если быть честным
towel	- полотенце
(to) treat with	- лечить чем-либо
truthfully	- по правде говоря
tutor	- репетитор
vanilla frosting	- ванильная глазурь
(to) vote for	- голосовать за
windowsill	- подоконник
(to) wipe	- протирать
whisk	- венчик
within	- в пределах
(to) wrap	- оборачивать, заворачивать
wrench	- гаечный ключ
(to) yell at	- кричать на