about; около, приблизительно
actually; на самом деле
to admire; восхищаться
airport; аэропорт
an hour an a half; полтора часа
around; около, приблизительно
around me; вокруг меня
asia; Азия
at the beginning; в начале
at the moment; в данный момент
to attend; посещать
baby panda; малыш панды
to bake; печь
beach; пляж
beer; пиво
beginning; начало
bicycle; велосипед
to build, built, built; строить
building; здание
by bicycle; на велосипеде
by bus; на автобусе
by car; на машине
by foot; пешком
by plane; на самолете
by subway; на метро
by train; на поезде
camel; верблюд
capital; столица
cartoon; мультфильм
central square; центральная площадь
central train station; центральный железнодорожный вокзал
certainly; конечно
Christmas lights; рождественские огни
Christmas tree; рождественская елка
to climb; карабкаться, взбираться вверх
close; близко
coconut; кокос
coffee shop; кофейня
country; страна
cousin; двоюродная сестра
crocodile; крокодил
cute; милый
to decorate; укрошать
downtown; центр города
to enjoy; наслаждаться
Europe; Европа
Excuse me; извините
famous for; известен благодаря
to finish; заканчивать
flight; рейс
for a good price; за хорошую цену
garden; сад
to get,got,gotten; получать
to get off; выходить из транспорта
to go around; ходить по
half an hour; пол часа
to hate; ненавидеть
to have dinner; обедать
homemade; домашний, сделанный дома
hope your do great; надеюсь у вас все хорошо
horse; лошадь
hostel; хостел
how far; как далеко
to hug; обнимать
in one year; за один год
included; включено
it's far away; это далеко
juice; сок
to knit; вязать
to last; длиться
to learn; учить
local; местный
to make dinner; готовить обед
to make new friends; заводить новых друзей
market; рынок
modern; современный
mountains; горы
music festival; музыкальный фестиваль
national; национальный
to offer; предлагать
one of these days; на днях в будущем
opera house; оперный театр
palace; дворец
paper; бумага
pasta; макаронные изделия
pebble beach; пляж из гальки
per person; за человек
pie; пирог
place; место
to plant; посадить растение
play; пьеса
potatoes; картофель
quite normal; вполне нормально
rain forest; тропический лес
really; действительно
to relax; расслабляться
restaurant; ресторан
to ride,rode,ridden; ездить на, кататься
sandy; песчаный
see you in a week; увидимся через неделю
snowy; снежный
souvenir; сувенир
souvenir store; сувенирный магазин
stadium; стадион
to start; начинать
station; станция
summer house; летний дом, дача
sushi; суши
sweater; свитер
to take a trip; совершить поездку
tea; чай
the earth; земля
the northern Lights; северное сияние
the other day; на днях (в прошлом)
the sun; солнце
tour; тур
train; поезд
transfer; трансфер
tropical; тропический
US visa; виза в США
to walk; гулять, годить
to watch; смотреть, наблюдать
what kind of; какого вида, рода, сорта
wonderful; замечательный, чудесный
work out; тренировка
yoga; йога
yoga center; центр йоги